,centroidX,centroidY,angleBetweenLegs,lengthOfLeftLeg,lengthOfRightLeg,class
0,795.0,346.0,0.0,22.022715545545243,22.022715545545243,walking
1,796.0,345.0,0.0,38.05259518088089,38.05259518088089,walking
2,795.0,335.0,0.0,49.040799340956916,49.040799340956916,walking
3,796.0,327.0,-3.498095612588901,66.03029607687671,65.03076195155643,walking
4,796.0,322.0,0.0,70.06425622241343,70.06425622241343,walking
5,794.0,323.0,0.0,86.00581375697807,86.00581375697807,walking
6,787.0,325.0,-10.62215540107503,92.26592003551474,91.54780172128655,walking
7,788.0,330.0,-12.535899648651498,111.75866856758809,78.40918313565062,walking
8,763.0,335.0,-14.399295648780868,114.12712210513327,81.49846624323673,walking
9,757.0,336.0,-47.556380993026906,121.26417442921878,90.3382532485547,walking
10,753.0,336.0,-50.112470132725186,122.00409829181967,91.706052144883,walking
11,752.0,335.0,-63.03954878855835,135.07405376311175,94.51454914456292,walking
12,741.0,333.0,-60.11299727387374,124.67958934805647,96.25487000666512,walking
13,736.0,335.0,-61.525456268829366,131.36970731489055,95.524865872714,walking
14,735.0,335.0,-62.261471597892175,130.51053597315428,96.04165762834374,walking
15,742.0,335.0,-67.27610288391745,133.4541119636259,99.04544411531506,walking
16,771.0,344.0,0.0,106.88779163215975,106.88779163215975,walking
17,722.0,341.0,-70.91980559956252,130.91982279242512,124.40257232067187,walking
18,757.0,346.0,0.0,110.30865786510142,110.30865786510142,walking
19,721.0,344.0,-63.928952628530546,119.47384651043922,127.6401190848708,walking
20,714.0,345.0,-61.625498990537295,112.16059914247961,128.5496013218244,walking
21,667.0,348.0,-5.470440162502759,108.16653826391968,100.07996802557443,walking
22,671.0,340.0,-9.200116176383549,116.3486140871476,84.29116205154607,walking
23,663.0,349.0,-6.599697753351017,108.2266141020775,99.1261822123701,walking
24,655.0,346.0,0.0,103.00485425454471,103.00485425454471,walking
25,658.0,346.0,0.0,102.48902380255166,102.48902380255166,walking
26,653.0,343.0,-9.210071392838675,106.38138934982943,105.30432089900205,walking
27,737.0,346.0,0.0,115.88356225108029,115.88356225108029,walking
28,642.0,346.0,0.0,103.07764064044153,103.07764064044153,walking
29,644.0,346.0,0.0,103.40696301506972,103.40696301506972,walking
30,729.0,346.0,0.0,122.03687967167954,122.03687967167954,walking
31,631.0,346.0,0.0,105.5367234662892,105.5367234662892,walking
32,578.0,341.0,-66.30931059717258,118.72657663724664,118.98319209031166,walking
33,615.0,341.0,0.0,102.83968105745953,102.83968105745953,walking
34,717.0,346.0,0.0,128.00390619039715,128.00390619039715,walking
35,552.0,338.0,-54.39780667685722,112.80514172678478,108.90821823902914,walking
36,536.0,338.0,-44.088151568507364,108.15729286552988,105.99056561788883,walking
37,500.0,341.0,-7.48232870777215,100.12492197250393,99.32270636667123,walking
38,508.0,338.0,-7.518696588857183,103.31021246711283,93.1343116150004,walking
39,484.0,341.0,0.0,100.01999800039987,100.01999800039987,walking
40,493.0,335.0,0.0,97.51410154434076,97.51410154434076,walking
41,497.0,338.0,0.0,103.12128781197411,103.12128781197411,walking
42,491.0,338.0,0.0,103.12128781197411,103.12128781197411,walking
43,460.0,343.0,-46.01737662114616,115.03912377969505,104.54664030948099,walking
44,440.0,343.0,-50.41470207095564,118.07201192492657,106.62082348209472,walking
45,474.0,341.0,0.0,100.12492197250393,100.12492197250393,walking
46,479.0,341.0,0.0,101.2719112093773,101.2719112093773,walking
47,430.0,343.0,-64.38033792738645,122.44998979175129,116.2110149684616,walking
48,417.0,341.0,-71.28327490875492,129.24782396620841,115.42096863222037,walking
49,417.0,341.0,-60.07980472650151,121.6552506059644,109.2931836849856,walking
50,412.0,338.0,-55.21266763388687,120.93386622447824,102.39628899525607,walking
51,394.0,338.0,-48.16978791866778,116.38728452885219,99.98499887483122,walking
52,509.0,346.0,-125.95866314430387,181.95878654244763,304.58660508958695,walking
53,380.0,333.0,-26.288262124900232,117.09824934643555,88.54377448471462,walking
54,641.0,346.0,0.0,183.61100184901773,183.61100184901773,walking
55,336.0,346.0,0.0,103.1746092796091,103.1746092796091,walking
56,640.0,344.0,0.0,184.7403583411053,184.7403583411053,walking
57,343.0,346.0,0.0,103.48429832588128,103.48429832588128,walking
58,339.0,346.0,0.0,103.58571330062848,103.58571330062848,walking
59,340.0,346.0,0.0,103.58571330062848,103.58571330062848,walking
60,627.0,346.0,0.0,194.50963986394092,194.50963986394092,walking
61,339.0,346.0,0.0,104.73776778220929,104.73776778220929,walking
62,327.0,346.0,0.0,104.13932974625868,104.13932974625868,walking
63,323.0,346.0,0.0,105.5367234662892,105.5367234662892,walking
64,310.0,341.0,0.0,104.40306508910547,104.40306508910547,walking
65,258.0,341.0,-68.83874018317174,116.61903789690601,125.41929676090518,walking
66,255.0,338.0,-53.589177011195,111.23398761170078,111.30588483993107,walking
67,595.0,346.0,0.0,222.3015969353347,222.3015969353347,walking
68,235.0,333.0,-27.418990076478654,109.83624174196784,96.16652224137044,walking
69,201.0,341.0,0.0,100.24470060806208,100.24470060806208,walking
70,199.0,341.0,0.0,100.4987562112089,100.4987562112089,walking
71,596.0,344.0,0.0,222.35332243976026,222.35332243976026,walking
72,588.0,344.0,0.0,230.32585612562042,230.32585612562042,walking
73,188.0,338.0,0.0,103.23759005323592,103.23759005323592,walking
74,573.0,345.0,0.0,240.68236329236922,240.68236329236922,walking
75,152.0,346.0,-56.78694106391318,111.48542505637229,112.05802068571441,walking
76,176.0,344.0,0.0,100.9603882718366,100.9603882718366,walking
77,165.0,344.0,0.0,101.24228365658294,101.24228365658294,walking
78,168.0,341.0,0.0,102.83968105745953,102.83968105745953,walking
